id,timestamp,tx_type,sub_type,amount,date,description,category,device,location,occasion,effects_balance,linked_tx_id,shared_flag,shared_splits,shared_notes
5659663e7b7e4804b08f1337b40edb5e,2025-12-20T11:20:20.660124,income,credit_card_debt,207.00,2025-12-12,Debt for: urbanclap showerhead,Debt,CREDIT_CARD,,,False,e09462da04eb48a49fc608b4d1f864ac,False,,
79a9b86be68f4e05b75669e56d130d55,2025-12-20T11:20:37.671676,expense,credit_card_expense,334.00,2025-12-09,zepto,Utilities,CREDIT_CARD,,,False,717eda2678024604b518d01dd34f5e80,False,,
3fbc2f5d7f524c34adf069857bc3a00e,2025-12-20T11:20:37.671748,income,credit_card_debt,334.00,2025-12-09,Debt for: zepto,Debt,CREDIT_CARD,,,False,717eda2678024604b518d01dd34f5e80,False,,
6cfd0de40e0b4debb278fbc1dafc4f78,2025-12-20T11:20:51.368160,expense,credit_card_expense,498.00,2025-12-09,bigbasket,Utilities,CREDIT_CARD,,,False,e8b7609dc0f14cec9a8b762e39d23478,False,,
be17130d56f64e99a730d09e78d31de9,2025-12-20T11:20:51.368212,income,credit_card_debt,498.00,2025-12-09,Debt for: bigbasket,Debt,CREDIT_CARD,,,False,e8b7609dc0f14cec9a8b762e39d23478,False,,
40e9d55f5c844a97851ef1d176ee784f,2025-12-20T11:24:22.903142,expense,regular,155.44,2025-12-11,EMi charges,House EMI,UPI,,,True,,False,,
88f488bb1e0845388f59cd7ef0baa7d3,2025-12-20T11:24:36.222455,expense,regular,80.99,2025-12-13,EMi charges,House EMI,UPI,,,True,,False,,
f5408a9256a841198cd439835b2cff59,2025-12-20T11:24:44.621856,expense,regular,353.53,2025-12-13,EMi charges,House EMI,UPI,,,True,,False,,
a0d753f1461445faaf8f4f4beed901a3,2025-12-20T11:24:52.115479,expense,regular,590.00,2025-12-13,EMi charges,House EMI,UPI,,,True,,False,,
e65f9aebb859421d9885a30a008b67c7,2025-12-20T11:24:57.254531,expense,regular,156.48,2025-12-13,EMi charges,House EMI,UPI,,,True,,False,,
e137cbfc51ba454d82626b4aff1dc379,2025-12-20T11:25:11.413237,expense,regular,433.50,2025-12-19,EMi charges,House EMI,UPI,,,True,,False,,
